Gen		Ceros
ACSM2A		0
BMP15		0
MYO1G		0
MAP3K2		0
SLC19A1		0
ARHGEF10	0
FSCN3		0
CRYGB		0
CTAGE1		0
EVI2B		0
AUP1		0
TRIM58		0
YWHAE		0
PACRG		0
NTRK3		0
DUX1		0
GRIFIN		0
LUC7L2		0
ACTN1		0
CLDN22		0
KCNRG		0
DCAF1		0
TSPAN4		0
UFC1		0
ZFAND4		0
ANKRD24		0
OR2M3		0
KXD1		0
DENND6B		0
TEX55		0
NMNAT3		0
MLH1		0
GARIN4		0
TMEM37		0
KCNJ14		0
ATG16L2		0
LYPLA1		0
UBA6		0
RNPEPL1		0
TAF11L5		0
XIRP1		0
EVI5		0
NSMCE3		0
BBS1		0
VMP1		0
KIZ		0
DECR2		0
RNF187		0
LUM		0
B3GAT1		0
ROCK1		0
OR6C75		0
EVX1		0
TNFRSF4		0
TIGD1		0
ZNF716		0
SF3A3		0
CCDC113		0
STX1B		0
STPG2		0
KIR2DS4		0
HNRNPLL		0
NDOR1		0
DGCR6L		0
TMEM255A	0
RAD51		0
EIF6		0
FA2H		0
RUNX3		0
CACNA2D2	0
GOSR1		0
SCGB1A1		0
KLK3		0
IDO2		0
HES3		0
FAM133A		0
DUSP29		0
ANKIB1		0
NPC1L1		0
CRISPLD2	0
KCTD15		0
ENSA		0
PODNL1		0
PPP4R4		0
PIK3R4		0
WNT10B		0
OSBPL5		0
LRRC55		0
FIGNL1		0
ZNRF2		0
BCAR3		0
PVALB		0
TMEM114		0
TTC31		0
labels		0
